time_outd0.1,real,0m8.727s
time_outd0.1_qs2_beta5,real,0m11.564s
time_outd0.1_qs2_beta5_t2,real,0m9.353s
time_outd0.1_qs2_beta5_t4,real,0m9.423s
time_outd0.5,real,0m15.817s
time_outd0.5_qs2_beta5,real,0m26.951s
time_outd0.5_qs2_beta5_t2,real,0m20.450s
time_outd0.5_qs2_beta5_t4,real,0m20.555s
time_outd1,real,0m19.286s
time_outd10,real,0m54.902s
time_outd10_qs2_beta5,real,4m9.595s
time_outd10_qs2_beta5_t2,real,3m45.968s
time_outd10_qs2_beta5_t4,real,3m44.213s
time_outd1_qs2_beta5,real,0m40.918s
time_outd1_qs2_beta5_t2,real,0m32.154s
time_outd1_qs2_beta5_t4,real,0m31.844s
time_outd2,real,0m23.209s
time_outd20,real,1m39.071s
time_outd20_explode1_t1,real,391m4.698s
time_outd20_explode1_t8,real,314m43.492s
time_outd20_qs2_beta5,real,7m40.673s
time_outd20_qs2_beta5_t2,real,7m20.942s
time_outd20_qs2_beta5_t4,real,6m47.498s
time_outd20_qs2_beta5_t8,real,6m34.904s
time_outd2_qs2_beta5,real,1m6.546s
time_outd2_qs2_beta5_t2,real,0m54.923s
time_outd2_qs2_beta5_t4,real,0m51.764s
